LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.763872518879543,-38.54318851924704,3,9,5
-3.862045686004021,-38.49404684461604,1,9,4
-3.715453191502964,-38.5561186457232,0,18,0
-3.7673927275318095,-38.543513951837866,0,9,5
-3.7344196305238153,-38.59133768312106,6,7,0
-3.7368586721613912,-38.52698824105303,4,16,5
-3.7713297330942432,-38.44339663668937,0,13,5
-3.78445011458815,-38.56437763173733,5,15,2
-3.7418324723477423,-38.59355409341031,4,10,0
-3.890344383652384,-38.61765709350252,3,9,3
-3.742441754869757,-38.64414587458154,0,10,1
-3.742441754869757,-38.64414587458154,0,13,1
-3.719046025022108,-38.59472732559171,1,19,0
-3.708633260646133,-38.55661615435881,2,11,0
-3.767372552014408,-38.637421559162426,4,5,1
-3.767372552014408,-38.637421559162426,4,10,1
-3.731468688229008,-38.4864087015789,1,15,5
