cluster,day_of_week,hour,qtd_pedidos
3,2,12,2.107142857142857
3,2,13,2.5277777777777777
3,2,14,2.586206896551724
3,2,15,2.78125
3,2,16,2.3529411764705883
3,2,17,2.0
3,2,18,1.5294117647058822
3,2,19,1.1
3,2,20,1.125
3,2,21,1.3333333333333333
3,2,22,1.0
3,2,23,1.3333333333333333
3,3,0,2.0
3,3,4,1.0
3,3,5,1.1428571428571428
3,3,6,1.375
3,3,7,2.129032258064516
3,3,8,4.486486486486487
3,3,9,3.72972972972973
3,3,10,2.7941176470588234
3,3,11,2.896551724137931
3,3,12,1.8181818181818181
3,3,13,2.393939393939394
3,3,14,2.3793103448275863
3,3,15,2.1923076923076925
3,3,16,2.28125
3,3,17,1.8571428571428572
3,3,18,1.4761904761904763
3,3,19,1.4166666666666667
3,3,20,1.0
3,3,21,1.1428571428571428
3,3,22,1.25
3,3,23,1.0
3,4,2,1.0
3,4,4,1.0
3,4,5,1.25
3,4,6,1.5714285714285714
3,4,7,2.357142857142857
3,4,8,4.513513513513513
3,4,9,4.111111111111111
3,4,10,3.5588235294117645
3,4,11,2.878787878787879
3,4,12,1.6774193548387097
3,4,13,2.3793103448275863
3,4,14,2.515151515151515
3,4,15,2.3870967741935485
3,4,16,2.3333333333333335
3,4,17,1.8
3,4,18,1.1666666666666667
3,4,19,1.5333333333333334
3,4,20,1.2
3,4,21,1.0
3,4,22,1.5
3,4,23,1.0
3,5,0,1.0
3,5,2,1.0
3,5,5,1.25
3,5,6,1.5833333333333333
3,5,7,1.75
3,5,8,2.1379310344827585
3,5,9,2.1785714285714284
3,5,10,1.8333333333333333
3,5,11,1.5833333333333333
3,5,12,1.7727272727272727
3,5,13,1.6
3,5,14,1.3888888888888888
3,5,15,1.55
3,5,16,1.5
3,5,17,1.2307692307692308
3,5,18,1.0
3,5,19,1.4285714285714286
3,5,20,1.25
3,5,21,1.2
3,5,22,1.0
3,6,0,1.0
3,6,1,1.0
3,6,5,1.0
3,6,6,1.0
3,6,7,1.2666666666666666
3,6,8,1.6842105263157894
3,6,9,1.631578947368421
3,6,10,1.6666666666666667
3,6,11,1.2142857142857142
3,6,12,1.7142857142857142
3,6,13,1.0
3,6,14,1.0
3,6,15,1.1666666666666667
3,6,16,1.0714285714285714
3,6,17,1.2941176470588236
3,6,18,1.1111111111111112
3,6,19,1.0
3,6,20,1.0
3,6,21,1.2
3,6,22,1.0
4,0,0,1.0
4,0,1,1.0
4,0,5,1.2222222222222223
4,0,6,2.1739130434782608
4,0,7,4.235294117647059
4,0,8,9.282051282051283
4,0,9,7.717948717948718
4,0,10,6.923076923076923
4,0,11,5.447368421052632
4,0,12,4.026315789473684
4,0,13,4.5675675675675675
4,0,14,4.052631578947368
4,0,15,4.361111111111111
4,0,16,4.837837837837838
4,0,17,3.7714285714285714
4,0,18,2.4642857142857144
4,0,19,2.08
4,0,20,1.2666666666666666
4,0,21,1.5384615384615385
4,0,22,1.375
4,0,23,1.0
4,1,0,1.0
4,1,1,1.0
4,1,2,1.0
4,1,5,1.0
4,1,6,2.3636363636363638
4,1,7,3.9166666666666665
4,1,8,8.23076923076923
4,1,9,7.0256410256410255
4,1,10,5.578947368421052
4,1,11,3.973684210526316
4,1,12,4.405405405405405
4,1,13,3.8857142857142857
4,1,14,4.764705882352941
4,1,15,4.45945945945946
4,1,16,4.324324324324325
4,1,17,2.8529411764705883
4,1,18,2.066666666666667
4,1,19,1.6551724137931034
4,1,20,1.0714285714285714
4,1,21,1.3076923076923077
4,1,22,1.3636363636363635
4,1,23,1.2
4,2,0,1.0
4,2,1,1.0
4,2,2,1.0
4,2,3,1.0
4,2,4,1.0
4,2,5,1.3333333333333333
4,2,6,2.32
4,2,7,3.8157894736842106
4,2,8,9.666666666666666
4,2,9,7.384615384615385
4,2,10,5.923076923076923
4,2,11,4.368421052631579
4,2,12,3.8378378378378377
4,2,13,3.9166666666666665
4,2,14,3.5641025641025643
4,2,15,3.945945945945946
4,2,16,3.861111111111111
4,2,17,3.7837837837837838
4,2,18,2.0
4,2,19,1.76
4,2,20,1.35
4,2,21,1.1666666666666667
4,2,22,1.1111111111111112
4,2,23,1.2
4,3,2,1.0
4,3,3,1.0
4,3,4,1.0
4,3,5,1.25
4,3,6,2.6363636363636362
4,3,7,3.8333333333333335
4,3,8,8.512820512820513
4,3,9,7.054054054054054
4,3,10,5.894736842105263
4,3,11,4.648648648648648
4,3,12,3.5757575757575757
4,3,13,3.8055555555555554
4,3,14,3.5789473684210527
4,3,15,3.4473684210526314
4,3,16,3.6578947368421053
4,3,17,3.0789473684210527
4,3,18,2.2916666666666665
4,3,19,1.4230769230769231
4,3,20,1.5714285714285714
4,3,21,1.3888888888888888
4,3,22,1.5454545454545454
4,3,23,1.0
4,4,0,1.0
4,4,1,1.0
4,4,3,1.0
4,4,4,1.0
4,4,5,1.0909090909090908
4,4,6,2.576923076923077
4,4,7,4.447368421052632
4,4,8,7.487179487179487
4,4,9,6.225
4,4,10,5.325
4,4,11,4.361111111111111
4,4,12,3.789473684210526
4,4,13,3.4871794871794872
4,4,14,4.108108108108108
4,4,15,3.710526315789474
4,4,16,4.222222222222222
4,4,17,3.1578947368421053
4,4,18,1.6923076923076923
4,4,19,1.8214285714285714
4,4,20,1.2666666666666666
4,4,21,1.5294117647058822
4,4,22,1.1428571428571428
4,4,23,1.6
4,5,0,1.0
4,5,1,2.0
4,5,2,1.0
4,5,3,1.0
4,5,5,1.2
4,5,6,2.107142857142857
4,5,7,3.392857142857143
4,5,8,4.2631578947368425
4,5,9,3.6153846153846154
4,5,10,3.1621621621621623
4,5,11,2.4857142857142858
4,5,12,2.1875
4,5,13,2.125
4,5,14,1.8214285714285714
4,5,15,1.9259259259259258
4,5,16,2.1666666666666665
4,5,17,2.037037037037037
4,5,18,1.5
4,5,19,1.5454545454545454
4,5,20,1.2857142857142858
4,5,21,1.125
4,5,22,1.6
4,5,23,1.6666666666666667
4,6,0,1.4
4,6,1,1.0
4,6,2,1.0
4,6,3,1.0
4,6,5,1.0
4,6,6,1.5
4,6,7,1.7586206896551724
4,6,8,2.892857142857143
4,6,9,2.4838709677419355
4,6,10,1.903225806451613
4,6,11,1.84375
4,6,12,1.565217391304348
4,6,13,1.8
4,6,14,1.8333333333333333
4,6,15,1.3461538461538463
4,6,16,1.4285714285714286
4,6,17,1.5263157894736843
4,6,18,1.2857142857142858
4,6,19,1.2941176470588236
4,6,20,1.25
4,6,21,1.2666666666666666
4,6,22,1.1111111111111112
4,6,23,1.0
5,0,0,1.0
5,0,1,2.0
5,0,2,1.0
5,0,5,1.0
5,0,6,1.65
5,0,7,2.9411764705882355
5,0,8,7.605263157894737
5,0,9,5.351351351351352
5,0,10,5.128205128205129
5,0,11,3.8857142857142857
5,0,12,3.111111111111111
5,0,13,3.1470588235294117
5,0,14,3.342857142857143
5,0,15,3.810810810810811
5,0,16,3.6578947368421053
5,0,17,3.0294117647058822
5,0,18,1.96
5,0,19,1.6538461538461537
5,0,20,1.4666666666666666
5,0,21,1.0714285714285714
5,0,22,1.0714285714285714
5,0,23,1.25
5,1,0,1.0
5,1,1,1.0
5,1,2,1.0
5,1,4,1.0
5,1,5,1.1428571428571428
5,1,6,1.4545454545454546
5,1,7,3.212121212121212
5,1,8,7.888888888888889
5,1,9,5.108108108108108
5,1,10,4.333333333333333
5,1,11,3.2432432432432434
5,1,12,3.142857142857143
5,1,13,3.1142857142857143
5,1,14,3.742857142857143
5,1,15,3.3714285714285714
5,1,16,3.129032258064516
5,1,17,2.1142857142857143
5,1,18,1.84
5,1,19,1.6296296296296295
5,1,20,1.0833333333333333
5,1,21,1.8571428571428572
5,1,22,1.2
5,1,23,1.0
5,2,0,1.2857142857142858
5,2,1,1.0
5,2,2,1.0
5,2,3,1.0
5,2,4,1.0
5,2,5,1.4285714285714286
5,2,6,1.631578947368421
5,2,7,2.8823529411764706
5,2,8,7.864864864864865
5,2,9,4.589743589743589
5,2,10,4.135135135135135
5,2,11,3.4242424242424243
5,2,12,2.6857142857142855
5,2,13,2.857142857142857
5,2,14,3.3333333333333335
5,2,15,2.914285714285714
5,2,16,3.8
5,2,17,2.8181818181818183
5,2,18,1.8571428571428572
5,2,19,1.64
5,2,20,1.1538461538461537
5,2,21,1.5
5,2,22,1.6
5,2,23,1.25
5,3,0,1.0
5,3,1,1.0
5,3,2,1.0
5,3,3,1.0
5,3,4,1.0
5,3,5,1.4
5,3,6,1.8095238095238095
5,3,7,3.3333333333333335
5,3,8,6.9
5,3,9,4.564102564102564
5,3,10,3.4864864864864864
5,3,11,2.8378378378378377
5,3,12,2.757575757575758
5,3,13,2.888888888888889
5,3,14,3.3333333333333335
5,3,15,3.026315789473684
5,3,16,3.4242424242424243
5,3,17,2.4571428571428573
5,3,18,2.0
5,3,19,1.6
5,3,20,1.2222222222222223
5,3,21,1.2941176470588236
5,3,22,1.5555555555555556
5,3,23,1.1666666666666667
5,4,0,1.0
5,4,2,1.0
5,4,3,1.0
5,4,4,1.0
5,4,5,1.2
5,4,6,1.4615384615384615
5,4,7,3.2222222222222223
5,4,8,6.105263157894737
5,4,9,4.0
